S.No.,Subject Code,Subject Name,Grade Point,Grade,Credits,Result
1,GR24A1001,Linear Algebra and Function Approximation,10,O,4,P
2,GR24A1003,Applied Physics,10,O,4,P
3,GR24A1005,English,8,A,2,P
4,GR24A1006,Programming for Problem Solving,9,A+,2,P
5,GR24A1009,Elements of Computer Science and Engineering,9,A+,1,P
6,GR24A1016,Graphics for Engineers,10,O,3,P
7,GR24A1018,Applied Physics Lab,10,O,1.5,P
8,GR24A1020,English Language and Communication Skills Lab,9,A+,1,P
9,GR24A1021,Programming for Problem Solving Lab,10,O,1.5,P
10,GR24A1028,Design Thinking*,10,O,0,P
